"","type","Migration","name","x","y"
"200","tno:coastal_migration_satellite_0_40k",-5.83559004,1521,-1.2783268552,45.8863970129
"201","tno:coastal_migration_satellite_0_40k",-0.02940295,1522,-1.2755925843,45.8839165147
"202","tno:coastal_migration_satellite_0_40k",-0.63238384,1523,-1.2728583134,45.8814359058
"203","tno:coastal_migration_satellite_0_40k",-5.2318839,1524,-1.2701240424,45.878955186
"204","tno:coastal_migration_satellite_0_40k",-7.15722327,1525,-1.267480986,45.8764294121
"205","tno:coastal_migration_satellite_0_40k",-8.3236849,1526,-1.2650276784,45.8738099473
"206","tno:coastal_migration_satellite_0_40k",-8.95234504,1527,-1.2627368322,45.8711236064
"207","tno:coastal_migration_satellite_0_40k",-7.20033242,1528,-1.2606278286,45.8683623578
"208","tno:coastal_migration_satellite_0_40k",-8.37223929,1529,-1.2591861317,45.8654013087
"209","tno:coastal_migration_satellite_0_40k",-10.99279931,1530,-1.2577602877,45.8624353151
"210","tno:coastal_migration_satellite_0_40k",-11.44322874,1531,-1.2565743078,45.8594230038
"211","tno:coastal_migration_satellite_0_40k",-12.54304604,1532,-1.2556100045,45.8563678305
"212","tno:coastal_migration_satellite_0_40k",-14.12772595,1533,-1.2546457012,45.8533124893
"213","tno:coastal_migration_satellite_0_40k",-13.90520189,1534,-1.2536813979,45.8502569803
"214","tno:coastal_migration_satellite_0_40k",-12.55831899,1535,-1.2527930938,45.8471914823
"215","tno:coastal_migration_satellite_0_40k",-12.82915522,1536,-1.2521183866,45.8440981802
"216","tno:coastal_migration_satellite_0_40k",-12.49028764,1537,-1.2514436794,45.8410047061
"217","tno:coastal_migration_satellite_0_40k",-11.89744032,1538,-1.2507689722,45.83791106
"218","tno:coastal_migration_satellite_0_40k",-10.49200345,1539,-1.250094265,45.8348172419
"219","tno:coastal_migration_satellite_0_40k",-11.18941354,1540,-1.2494195578,45.8317232517
"220","tno:coastal_migration_satellite_0_40k",-10.33595947,1541,-1.2487448506,45.8286290896
"221","tno:coastal_migration_satellite_0_40k",-9.15162996,1542,-1.2480701435,45.8255347554
"222","tno:coastal_migration_satellite_0_40k",-9.88717177,1543,-1.2473954363,45.8224402493
"223","tno:coastal_migration_satellite_0_40k",-10.4561062,1544,-1.2465347332,45.8193698777
